Cidade,UF,Populacao,Domicilios,Populacao urbana,Renda media,Empresas CNPJ relacionadas,Desentupidoras Google,Empresas Google Maps,Concorrentes com site,Concorrentes 24h,Total de avaliacoes,Media das avaliacoes,Maior numero de avaliacoes,Google Ads,Concorrencia SEO,Busca desentupidora,Busca desentupimento,Busca limpa fossa,Saneamento,Rede de esgoto,Distancia da cidade grande (km),Quantidade de cidades proximas,Area potencial de atendimento,Preco medio,Potencial residencial,Potencial comercial,Potencial industrial,Potencial condominios,Nota concorrencia,Nota demanda,Nota mercado,Nota oportunidade,Observacoes,Nota Oportunidade Parcial (Pop x %Saneamento),Ranking Parcial
Guaxupé,MG,52744,,,,,,,,,,,,,,,,,"82,92","256,33",,,,,,,,,,,,,,43735,231
Leopoldina,MG,52739,,,,,,,,,,,,,,,,,"92,95",64,,,,,,,,,,,,,,49021,206
Vargem Grande Paulista,SP,52352,,,,,,,,,,,,,,,,,"44,24","89,02",,,,,,,,,,,,,,23161,304
Nova Venécia,ES,52324,,,,,,,,,,,,,,,,,"20,91","79,32",,,,,,,,,,,,,,10941,366
Itupiranga,PA,52201,,,,,,,,,,,,,,,,,"1,57","13,31",,,,,,,,,,,,,,820,427
Boa Viagem,CE,52133,,,,,,,,,,,,,,,,,"41,32","240,31",,,,,,,,,,,,,,21541,311
Araquari,SC,52079,,,,,,,,,,,,,,,,,"15,29","25,95",,,,,,,,,,,,,,7963,377
Mairinque,SP,51888,,,,,,,,,,,,,,,,,"59,52","122,27",,,,,,,,,,,,,,30884,268
Coruripe,AL,51784,,,,,,,,,,,,,,,,,"26,92","25,63",,,,,,,,,,,,,,13940,345
Campo Novo do Parecis,MT,51722,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Capivari,SP,51369,,,,,,,,,,,,,,,,,"97,47","194,83",,,,,,,,,,,,,,50069,200
Brejo da Madre de Deus,PE,51308,,,,,,,,,,,,,,,,,"94,16","62,5",,,,,,,,,,,,,,48312,211
São Bento do Una,PE,51165,,,,,,,,,,,,,,,,,"95,03","138,97",,,,,,,,,,,,,,48622,209
Tucano,BA,51016,,,,,,,,,,,,,,,,,"18,42","28,67",,,,,,,,,,,,,,9397,370
Guaramirim,SC,51009,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Canguçu,RS,50968,,,,,,,,,,,,,,,,,"35,49",56,,,,,,,,,,,,,,18089,323
Prudentópolis,PR,50946,,,,,,,,,,,,,,,,,"53,57","155,91",,,,,,,,,,,,,,27292,276
Nova Andradina,MS,50848,,,,,,,,,,,,,,,,,"39,47","100,72",,,,,,,,,,,,,,20070,315
Poções,BA,50773,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Canela,RS,50715,,,,,,,,,,,,,,,,,"18,49","36,2",,,,,,,,,,,,,,9377,371
Queimadas,PB,50698,,,,,,,,,,,,,,,,,"1,68","2,67",,,,,,,,,,,,,,852,426
Campina Grande do Sul,PR,50600,,,,,,,,,,,,,,,,,"86,95","159,09",,,,,,,,,,,,,,43997,229
Santiago,RS,50336,,,,,,,,,,,,,,,,,"97,22",8,,,,,,,,,,,,,,48937,207
Quirinópolis,GO,50329,,,,,,,,,,,,,,,,,"88,67","132,46",,,,,,,,,,,,,,44627,227
Araci,BA,50308,,,,,,,,,,,,,,,,,"41,69","119,68",,,,,,,,,,,,,,20973,312
Palmas,PR,50238,,,,,,,,,,,,,,,,,"78,92","178,37",,,,,,,,,,,,,,39648,243
Catu,BA,50109,,,,,,,,,,,,,,,,,"0,2","0,6",,,,,,,,,,,,,,100,434
Altos,PI,50094,,,,,,,,,,,,,,,,,"4,21",12,,,,,,,,,,,,,,2109,411
Jales,SP,50078,,,,,,,,,,,,,,,,,"92,99","275,09",,,,,,,,,,,,,,46568,217
São Benedito,CE,50058,,,,,,,,,,,,,,,,,"15,21","27,73",,,,,,,,,,,,,,7614,378
São José de Mipibu,RN,50053,,,,,,,,,,,,,,,,,"0,53","9,1",,,,,,,,,,,,,,265,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cidade,UF,Populacao,Saneamento,Nota Oportunidade Parcial (Pop x %Saneamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachoeiro de Itapemirim,ES,198342,"93,67",185787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarapuava,PR,189630,"96,02",182083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Bárbara d'Oeste,SP,189456,"95,56",181044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itabuna,BA,196344,"89,75",176219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Caetano do Sul,SP,172693,"95,92",165647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poços de Caldas,MG,172339,"95,01",163739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferraz de Vasconcelos,SP,186479,"86,82",161901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaraguá do Sul,SC,199519,"78,21",156044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pindamonhangaba,SP,172681,"90,33",155983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda Rio Grande,PR,165943,"89,7",148851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhares,ES,183797,"80,64",148214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mogi Guaçu,SP,160318,"91,48",146659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
